episode,rewards,lengths
0,-17.080981468958534,17
1,-21.22900988405096,400
2,-1.5050438135973476,30
3,-1.8197455448719457,60
4,-2.101357900763455,81
5,-1.4780728125158666,49
6,-1.3029849625988248,27
7,-1.4075860846058712,69
8,-1.8741372670797372,58
9,-0.9933578809094583,29
10,-0.9240712399763528,39
11,-0.8123056837695896,32
12,-1.6791402053001587,49
13,-2.06187512741421,57
14,-11.143076545201353,400
15,-1.0743024840656974,31
16,-1.972265732850486,32
17,-0.8757835695315591,39
18,-2.4738229631389754,86
19,0.0555509526526392,23
20,-1.2872560010840963,28
21,-0.16037117023283848,42
22,-1.010338156379277,30
23,-12.689888084702977,400
24,-2.8503572461540436,77
25,-0.14316525681390474,11
26,-0.9744135127774918,40
27,-0.3320977771100351,13
28,-3.924387235598478,117
29,-1.6655930991354977,41
30,-0.9269375030461905,71
31,-0.5791522006019911,15
32,-0.36376048876431083,53
33,-0.2386627699525707,20
34,-0.5454280997913528,24
35,-1.4334145640063207,63
36,-0.6985425389983122,58
37,-2.962515375522739,118
38,-0.19831411318951553,46
39,-3.369326206821783,121
40,-11.73383206512519,400
41,-1.0392061052506725,38
42,-1.4207465885639652,68
43,-1.5777222928629642,59
44,-0.9227873524729353,58
45,-0.10138549408561608,9
46,-1.0896823848590922,17
47,-11.644138806639953,400
48,-0.6415506934357214,38
49,0.15910158172765676,21
50,-12.70561228856407,400
51,-0.7654546209563132,39
52,-1.5070055426093134,36
53,-1.072507735991825,37
54,-0.5676555429664409,24
55,-0.3454997501292931,24
56,-0.3440081315415615,15
57,-10.987361817832566,400
58,-1.4080932211942052,40
59,-0.7322308809465502,24
60,-1.010495487140101,41
61,-0.15179217840736045,13
62,-0.44523966450796715,17
63,-0.6271329425633687,21
64,-0.7325999755360667,65
65,-2.239580752258458,88
66,-3.205153788046583,102
67,-10.950710353911358,400
68,-2.604272142857853,118
69,-0.7362374902131954,33
70,-1.2886473321577192,52
71,-0.2775614593987904,15
72,-2.1291047876967157,64
73,-4.306598158570471,136
74,-2.612374833885181,66
75,-2.26059940931308,44
76,-1.4777124414855713,68
77,-0.7359979981586074,21
78,-3.178262910524096,70
79,-2.857735582675695,164
80,-10.817369560608748,400
81,-0.4679203823967223,14
82,0.1400689808002082,42
83,-2.1305869852181045,66
84,-0.5894830689371231,21
85,-0.39474589203153726,25
86,-0.9905356597318874,27
87,-3.229444181600505,124
88,-0.4841222512108022,41
89,-10.456507179166707,400
90,-2.593987796146763,83
91,-2.4365686104819733,55
92,-2.596836838476243,133
93,-2.5731023812523595,86
94,-2.5295655430611883,80
95,-10.686238991727368,400
96,-2.2006336664344737,51
97,-2.287795642855951,82
98,-11.495140070953102,400
99,-7.149873647182702,141
100,-1.1134211589583518,48
101,-3.7574198273901858,132
102,-0.9630888078472319,33
103,-0.5316379741226762,15
104,-6.566342984866611,153
105,-0.0617634756476648,14
106,-5.153640918166537,208
107,-0.40598509615506584,17
108,-1.9530478079144493,74
109,-1.6368483437592354,36
110,-1.716024117396446,31
111,-2.00188260669456,86
112,-0.3920557924993449,12
113,-0.8537523990134075,37
114,-1.7057020487536847,62
115,-0.7880094263322247,21
116,-0.42554204160207865,22
117,-2.8911466413610545,85
118,-0.5103050577718897,23
119,-10.899086456205978,400
120,-0.035544232237231486,12
121,-0.27862542525205836,13
122,-11.179828139607773,400
123,-1.193906305056731,60
124,-0.17421224666624813,23
125,-0.3341327961401024,23
126,0.003166032092002058,32
127,-2.553057011307843,64
128,-11.170597754654848,400
129,-2.0304693935209555,122
130,-1.8410895113324544,43
131,-12.221567781904989,400
132,-0.4479197447644054,64
133,-2.8203939999382412,132
134,-2.1320052948859356,39
135,-2.5457501435555154,104
136,-10.604990497990157,400
137,-0.565722774523961,36
138,-1.2412225456293706,33
139,-1.4219356050351044,51
140,-4.157984438212161,145
141,-0.511672070508035,112
142,-1.689194261804793,56
143,-0.6617664121236908,40
144,-0.8581656273762515,15
145,-0.23790193056701875,15
146,-1.9856577006581115,73
147,-3.11786624801704,149
148,-0.9944397706210013,54
149,-0.5468321988484844,12
150,-1.0619870255266042,75
151,-0.39228367392766006,12
152,-11.106101687723532,400
153,-0.8832636876296098,57
154,-0.8769371728726012,29
155,-0.6812023640037299,70
156,-0.3745855912740987,18
157,-0.771032456734132,42
158,-0.6331377805222905,15
159,-1.190852618816948,22
160,-0.691689425507811,19
161,-0.26277364310819606,15
162,-0.5935710942323795,15
163,-0.6342307191142169,15
164,-3.690884889425933,117
165,-1.6131428973242379,35
166,-0.1594168262068978,14
167,-0.8209041165784574,48
168,0.03347005798796353,40
169,-0.28093898136167195,22
170,-0.9227256984693564,31
171,-0.5677274333409422,53
172,-0.7298047109363075,40
173,-1.7863209426492572,64
174,-2.1920306922446886,59
175,-1.1090397593986108,43
176,-3.5502425597562044,105
177,-2.3908284982790526,128
178,-1.5519301441568192,44
179,-2.9484804524760073,60
180,-1.8814077909998332,44
181,-3.3533621395421345,128
182,-0.34015908200598244,35
183,-10.49811035970756,400
184,-0.820930025488781,28
185,-0.5822544102216141,26
186,-0.8563249463169366,58
187,-0.9286178559419297,35
188,-0.6321577782476799,19
189,-0.662742257172145,45
190,-11.929452901627805,400
191,-1.8717300379772306,54
192,-0.7896623571895311,44
193,-0.5726850313574612,33
194,-3.186392404906136,75
195,-0.5717751750800354,34
196,-1.201450907238074,52
197,-10.628536978310473,400
198,-2.0226320806025844,76
199,-1.248490780589148,62
200,-0.4732394457331398,14
201,-1.6262028966460313,69
202,-0.7193326024640618,42
203,-4.248266228331811,138
204,-2.0301669399938786,59
205,-0.05426547415982198,19
206,-1.5088732551262143,33
207,-0.6950675994234847,24
208,-2.2731536873760803,65
209,-0.40433486713658623,15
210,-0.9549124611838227,31
211,-4.8739790377670555,108
212,-1.231365413695424,71
213,-1.6077770445280066,44
214,-1.4565245067801547,55
215,-11.8121239638616,400
216,-2.1595323235676465,76
217,-1.1820372684502867,113
218,-0.5661035209454244,24
219,-4.308869419708079,134
220,-2.511126842668653,97
221,-1.4128213320173877,55
222,-2.9972615633757087,73
223,-0.3317599851363845,36
224,-1.3346057652079555,70
225,-0.5143676839059506,12
226,-1.585142599572868,77
227,-1.570809920352477,82
228,-0.10034174075702217,11
229,-0.7998513330327973,37
230,-1.010369586729633,25
231,-0.4804840313639548,29
232,-0.17496001352976112,14
233,-3.2603380768782753,104
234,-2.4041411364698737,51
235,-1.5560874521940602,49
236,-3.635758079060524,106
237,-0.9343947805488755,27
238,-0.4405589307900426,28
239,-1.024620486638064,46
240,-0.719200919642069,52
241,-3.729170313021504,78
242,-0.22309082790070703,12
243,-1.8369669680352054,92
244,-0.4899792561064647,34
245,-0.5792596548712832,12
246,-10.483901446728316,400
247,-0.49640215101132895,19
248,-10.105801007431324,400
249,-11.100469653317669,400
250,-2.5084630531134144,117
251,-10.596688147567129,400
252,-11.316904025078246,400
253,-2.301799259483532,77
254,-2.839635567637764,45
255,-0.12080564967536205,23
256,-0.31544927129366773,12
257,-1.9185964458919575,64
258,-0.7269939668432877,31
259,-0.4828842406024199,18
260,-0.522864709295448,19
261,-0.6622715717057196,25
262,-0.45460854812092016,16
263,-0.19181310885065836,13
264,-1.4099428386590667,40
265,-0.45559022001862776,12
266,-0.5914227476957219,11
267,0.16489534313005447,16
268,-0.5684841250042949,17
269,-10.49571877791824,400
270,-2.10648995924977,49
271,-5.913220707850004,223
272,-0.3422751041939594,14
273,-10.568521856757908,400
274,-0.38314851713750936,26
275,-0.27428583370631476,8
276,-1.1804446466837262,41
277,-0.40354466690019075,30
278,-0.7796048205461441,27
279,-0.4187085056191375,10
280,-1.3425950830630824,53
281,-0.25603468083617925,12
282,-0.5301801901038037,48
283,-0.49085188303186505,20
284,-1.543611494424652,37
285,-0.19090668816357936,16
286,-0.9026567471419296,18
287,-2.0365268663361826,48
288,-0.9081394668688805,30
289,-4.762665987306001,195
290,-1.7466552304264533,103
291,-1.0969440029338502,72
292,-0.6465815931943957,37
293,-1.5981457903761425,69
294,-0.3763979784663508,16
295,-1.7165442475018313,45
296,-1.3718585646903516,42
297,-0.8619311252736623,23
298,-0.808678417068825,22
299,-0.46970375456117636,24
300,-0.3363536217551707,15
301,-0.6015353060642384,22
302,-0.5486768075027816,55
303,-0.48459385088781765,28
304,-0.3383082364469101,14
305,-0.22257633179006475,25
306,-2.25737904066569,62
307,-1.7057939163237896,43
308,-2.5532040496053985,67
309,-4.056262063815657,95
310,-0.6590032633407157,35
311,-0.40577210759354904,71
312,-2.373455449225828,102
313,-0.27503237151513765,21
314,-0.25558810349472605,15
315,-0.20915472643783167,32
316,-0.016831438515635448,17
317,-9.855644062333548,400
318,-8.74284526759579,303
319,-3.2081531021405727,124
320,-0.20531118870892695,14
321,-2.5599132866260845,98
322,-1.1780109443553555,39
323,-0.7252647304033685,32
324,-1.165209619513795,95
325,-0.937913810175062,46
326,-1.5883195009537436,42
327,-0.5643152998175053,30
328,-0.4926586068218351,28
329,-5.335374037346184,153
330,-0.5723475739412234,22
331,-3.32242781755463,123
332,-11.867487984694419,400
333,-2.8136156755653845,141
334,-0.9083279438991118,25
335,-0.1615752246965449,20
336,-0.663252297102428,29
337,-2.6346879638626683,93
338,-1.427703953901442,46
339,-0.002576643638523113,47
340,-0.7302312826533686,34
341,-0.9757234248191664,32
342,-0.7026339837811386,15
343,-0.16237200296997145,23
344,-0.7805526508263981,35
345,-1.1255673910766752,35
346,-0.6562838669923053,22
347,-0.8507636186091461,47
348,-0.14215321283655308,22
349,-0.8952017972202391,27
350,-0.30126617773433806,20
351,-0.480512721009883,14
352,-0.34019191642995866,11
353,-0.22770212626424638,18
354,-0.5265692532053735,14
355,-0.7422249606778091,25
356,-1.5311528718491334,77
357,-0.6541052402269216,16
358,-0.8768470077336719,28
359,-2.0681940492718534,81
360,-0.2756023778371552,14
361,-9.518782738702734,400
362,-1.4714996474147346,79
363,-1.8295655291700368,85
364,-2.2344397947800565,74
365,-4.114619234756348,234
366,-1.9368039143254823,89
367,-0.3541812883294825,30
368,-0.3719536184686923,16
369,-2.207299657134148,100
370,-0.9469767321559205,31
371,-10.602113499672468,400
372,-3.892066806912848,172
373,-0.6179734557461302,30
374,-0.5819917548205291,72
375,-1.9845806650010656,80
376,-10.202175514617446,400
377,-0.9555949119875743,58
378,-2.595050093455296,97
379,-12.301554158604306,400
380,-0.6857597062142624,18
381,-0.7891822780368637,57
382,-1.8295198484020199,89
383,-3.5957461602677383,156
384,-1.7359147883216888,97
385,-2.0867013100028693,109
386,-2.454248255905204,84
387,-2.9771652816657905,144
388,-1.0311844863959472,54
389,-0.7208573544196502,56
390,-2.966164691773787,117
391,-0.6518153977566727,47
392,-0.40091946458313554,11
393,-0.12139480290624158,42
394,-0.051121379182624715,8
395,-0.3675142874496724,22
396,-0.8281837616725718,40
397,-0.6210148205412706,42
398,-0.4478208095463917,16
399,-0.2700274344711389,20
400,-1.1483735265419162,34
401,-2.8597462168681402,83
402,-2.703314875437217,82
403,-10.330927972454996,400
404,-1.5016868445920388,36
405,-1.3506687180029784,53
406,-10.883201190161543,400
407,-0.575500086398312,30
408,-0.24218591420053678,10
409,-1.610103562064902,54
410,0.07920978448305367,25
411,-0.9786306388856123,48
412,-1.395691435836391,97
413,-1.0228243574846918,34
414,-0.7436808105911485,31
415,-2.7730297611604438,144
416,-0.43056127969978647,28
417,-0.6013674483501721,10
418,-0.46657521789366,15
419,-0.6214654806459026,54
420,-0.5873748678782631,29
421,-2.533865509719279,83
422,-2.1065639052502947,88
423,-0.8247855582566439,44
424,-0.7274554391410147,31
425,-1.0257872949236397,34
426,-0.5507495967013338,38
427,-0.44773414227221286,13
428,-1.0060941005900617,45
429,-0.40086217083272496,27
430,-0.37097908007022734,29
431,-1.24362828550177,43
432,-0.5956741455301692,21
433,0.07535268297750142,23
434,-0.7984260448760304,40
435,0.17373323054285567,27
436,-1.3149043330361718,59
437,-1.437305692000512,101
438,-1.7277931755936335,50
439,-0.26622590425690396,14
440,-12.709064250085412,400
441,-1.3959960844526387,64
442,-0.39343511130048153,15
443,-0.9867342215041062,32
444,-1.1015995196898534,68
445,-0.04842623976423369,20
446,-9.63181770998186,400
447,-0.697585926916451,23
448,-0.288868801105235,27
449,-0.36206439204856494,15
450,-0.5905422636310301,21
451,-0.37520545755345686,14
452,-2.2952314360380477,66
453,-0.2304611486365701,16
454,-2.4646977264313135,72
455,-1.0709357585322976,59
456,-0.14365011962249902,32
457,-0.3151027491365779,18
458,-1.0843851206978947,36
459,-1.311599583321637,44
460,-1.8571309198006913,76
461,-0.5205865193537809,19
462,-0.7613807171530863,18
463,-0.7029605174970811,11
464,-3.573705069110897,104
465,-10.976592448092797,400
466,-2.5219942681597316,64
467,-0.20212247532498753,95
468,-4.309665465747231,156
469,-3.1077249666874667,104
470,-0.9879107349243372,35
471,-0.8239793272030055,26
472,-0.3287630639222682,14
473,-2.136142705942806,109
474,-10.102919970565717,400
475,-0.18645101952753002,9
476,0.3794903332325152,24
477,-0.4610246270253054,20
478,-0.823613319180891,18
479,-0.6715016505519719,41
480,-0.3598926035331619,30
481,-3.899451115208586,116
482,-0.40702850804004687,14
483,-1.5447167731899152,54
484,-0.34950683620477785,15
485,-0.7012214518599119,45
486,-2.020310490604828,80
487,-1.7309704460066861,55
488,-0.7653732589070391,28
489,-2.2245274046013233,116
490,-0.6109331120218262,31
491,-0.9519230198367902,44
492,-0.1922992086462528,22
493,-1.1657752610851788,45
494,-12.155449642015824,400
495,-0.5533393164579573,31
496,-0.32482911516937313,39
497,-0.874813486600568,32
498,-1.645641558933791,63
499,-10.666290393006186,400
500,-1.2731480525537964,49
501,-0.8912766497950202,33
502,-12.508375239126035,400
503,-0.08847020312242439,19
504,-0.22738783837608229,20
505,-0.7267914642618052,34
506,-3.8823347361003067,73
507,-0.23700707198803,19
508,-0.08511151132705276,24
509,-1.3340489808829175,24
510,-0.3612175532065883,15
511,0.31390289562604834,42
512,-0.2819773192683658,41
513,-0.2054561654462722,31
514,-0.27404495350594876,11
515,-0.1571335710226213,11
516,-11.211052733578885,400
517,-0.8685032228639253,35
518,0.2565934784760908,19
519,-0.24065412463401473,26
520,-4.703005907869917,211
521,-0.473354418538552,19
522,-2.227330709892592,84
523,-2.7538771217658677,121
524,-1.9054862265586638,45
525,-1.1984343292818906,111
526,-0.5786599439643805,35
527,-0.1912768721257171,24
528,-0.6684531117006166,18
529,-0.3858499221481937,14
530,-0.37092851129284404,14
531,-4.172635181001739,160
532,-0.7259942495526603,31
533,-0.7860133068597944,38
534,-0.9902418366087947,62
535,-2.699983746434198,70
536,-0.004636127231556562,16
537,-0.8637457161081725,24
538,-11.906418098631372,400
539,-1.0331475487706439,37
540,-1.9932399693517098,70
541,-1.8331458476555713,53
542,-0.3022089719711516,23
543,-0.20751836763736187,13
544,-0.5003652923185691,36
545,-1.108059590108176,55
546,-0.4446186174303863,35
547,-1.9161015006019364,91
548,-1.895199622033793,61
549,-0.5606987251352726,18
550,-0.5159509097518233,31
551,-2.2237087690129633,64
552,-0.844371212955623,31
553,-1.478753636723661,82
554,-1.0270648623307763,63
555,-10.158227415651533,400
556,-2.710547603588397,156
557,-0.43446974718121334,21
558,-0.27758729450243413,55
559,-0.23540447989406044,10
560,-1.2474160057085089,40
561,-0.21711020171458068,35
562,-0.16094568875272197,12
563,-0.9859753271245456,26
564,-0.706165367788527,20
565,-3.5588143155686716,96
566,-0.5764994510574999,16
567,-2.6202529140280646,90
568,-0.012512552509365088,23
569,-2.1572491756443313,121
570,-10.505587621490744,400
571,-10.413905056662335,400
572,-0.6921662641397855,38
573,-2.755400553206139,96
574,-1.6837969213423505,82
575,-1.249563584327078,47
576,-2.2798016124127165,174
577,-2.2977221127007117,121
578,-0.6878190344213674,25
579,-0.31442262121794357,29
580,-1.1968157251034794,29
581,-0.5929154945296378,12
582,-1.752473328217708,90
583,-11.1757053527004,400
584,-1.0619533862527677,79
585,-1.63605775139995,57
586,-2.504470881158645,124
587,-0.22695555397181927,15
588,-0.39479938328596753,21
589,-1.4732624142792528,47
590,-0.15675635263221174,30
591,-0.9198843582078549,21
592,-0.7104067389587096,32
593,-0.3961683400594028,11
594,-0.6886561196447611,32
595,-0.7279983266543445,24
596,-0.4145701729808476,11
597,-1.0900768350828216,23
598,-11.468314924555992,400
599,-2.3471298884942184,81
600,-1.2196853609458507,32
601,-0.6235138714105741,73
602,-2.914177527697237,73
603,-2.0111602214942605,68
604,-0.2138887918020077,24
605,-0.35286192657435733,20
606,-5.520416992937381,215
607,-0.768849177802827,44
608,-2.031077546238684,67
609,-0.8490892524231423,51
610,-0.5748060549645109,21
611,-0.3953890093332161,28
612,-0.46989158720110935,28
613,-10.02627207319381,400
614,-0.5667045962319157,39
615,-0.6960026732299777,54
616,-1.86378095048813,116
617,-1.9115807609072082,120
618,-0.39631645815538047,12
619,-0.640638741136758,19
620,-0.6594891140205276,24
621,-2.5598482363661654,42
622,-0.3948022373560747,17
623,-1.2364261958352254,97
624,-0.8572639530756918,58
625,-0.8021687007550905,17
626,-1.2187791687511376,35
627,-0.7956190310644521,68
628,-1.0322510053591445,25
629,-0.3335033342999034,32
630,-1.0057866626820462,30
631,0.21357934878006274,28
632,-1.1109141173724406,31
633,-0.5466079896154162,20
634,0.1160603096346848,41
635,-0.991877675428251,25
636,-3.5483398226715583,173
637,-0.07144723927950881,20
638,-0.3372691435864472,19
639,-9.883131395548753,400
640,0.04318875524582298,30
641,-0.5027210705977806,27
642,-9.824298891510558,400
643,-0.5417984588747697,31
644,-10.149118101188389,400
645,-0.22209155919583348,22
646,-1.1172808943496941,32
647,-0.4364302334007832,51
648,-9.78725129375228,400
649,-0.919594925740637,33
650,-0.579911206908062,22
651,-0.8671846129299762,45
652,-0.7447011739107323,19
653,-1.2411532087090256,36
654,-1.8985078802373676,53
655,-0.8398973138922482,22
656,-2.0197000623754744,97
657,-2.8001457727627312,209
658,-0.41521116136623504,21
659,0.1644161639146123,76
660,-1.9495949432771529,60
661,-10.532104280539212,400
662,-0.5435490350534556,17
663,-11.373954510093359,400
664,-0.35678382811608317,29
665,-0.4289039633644261,20
666,-0.9345326410244233,80
667,-0.5356924703315764,65
668,-1.1486710355277223,61
669,-1.586561685775881,60
670,-9.40195451162889,400
671,-0.8716617092366056,33
672,-10.476502374811464,400
673,-0.43567178692791225,28
674,-0.7131158581213983,61
675,-1.4674374116947888,64
676,-0.1025089125070243,11
677,0.2545622740267456,109
678,-1.2750379589280485,83
679,0.08285088627613986,54
680,0.03829001397402872,12
681,-1.116752961194018,23
682,-0.5327018418200042,41
683,-0.19415374617112988,32
684,-0.07285303156058492,16
685,-0.3369427382089804,12
686,-0.4862311712485802,31
687,-0.5724035743059919,25
688,-0.22730329326135607,69
689,-0.17457906596512449,30
690,-1.1979434558109323,62
